import time: self [us] | cumulative | imported package
import time:      1203 |       2353 |         numpy.lib.financial
import time:       232 |        232 |         numpy.lib.arrayterator
import time:       383 |        383 |         numpy.lib.arraypad
import time:       209 |        209 |         numpy.lib._version
import time:       502 |      32821 |       numpy.lib
import time:       148 |        148 |           numpy.fft._pocketfft_internal
import time:      1865 |       2012 |         numpy.fft._pocketfft
import time:       406 |        406 |         numpy.fft.helper
import time:       211 |       2628 |       numpy.fft
import time:       353 |        353 |           numpy.polynomial.polyutils
import time:       417 |        417 |           numpy.polynomial._polybase
import time:       481 |       1249 |         numpy.polynomial.polynomial
import time:       522 |        522 |         numpy.polynomial.chebyshev
import time:       363 |        363 |         numpy.polynomial.legendre
import time:       369 |        369 |         numpy.polynomial.hermite
import time:       373 |        373 |         numpy.polynomial.hermite_e
import time:       389 |        389 |         numpy.polynomial.laguerre
import time:       248 |       3510 |       numpy.polynomial
import time:       503 |        503 |               numpy.random._common
import time:       242 |        242 |                   binascii
import time:       300 |        542 |                 base64
import time:       570 |        570 |                   _hashlib
import time:       208 |        208 |                     _blake2
import time:       299 |        299 |                     _sha3
import time:       299 |        805 |                   hashlib
import time:       332 |       1706 |                 hmac
import time:       176 |        176 |                     _bisect
import time:       186 |        361 |                   bisect
import time:       194 |        194 |                   _sha512
import time:       182 |        182 |                   _random
import time:       490 |       1225 |                 random
import time:       215 |       3687 |               secrets
import time:       590 |       4780 |             numpy.random._bit_generator
import time:       257 |        257 |             numpy.random._bounded_integers
import time:       255 |        255 |             numpy.random._mt19937
import time:      1148 |       6438 |           numpy.random.mtrand
import time:       261 |        261 |           numpy.random._philox
import time:       225 |        225 |           numpy.random._pcg64
import time:       207 |        207 |           numpy.random._sfc64
import time:       628 |        628 |           numpy.random._generator
import time:       290 |       8048 |         numpy.random._pickle
import time:       267 |       8314 |       numpy.random
import time:       677 |        677 |       numpy.ctypeslib
import time:      3429 |       3429 |         numpy.ma.core
import time:       773 |        773 |         numpy.ma.extras
import time:       305 |       4506 |       numpy.ma
import time:      3152 |     162629 |     numpy
import time:       544 |     163172 |   thor.config
import time:       223 |        223 |   thor.constants
import time:       227 |        227 |         astropy.version
import time:       187 |        187 |                   _opcode
import time:       388 |        574 |                 opcode
import time:       676 |       1249 |               dis
import time:       245 |        245 |                   token
import time:      1220 |       1464 |                 tokenize
import time:       209 |       1672 |               linecache
import time:      2530 |       5450 |             inspect
import time:       180 |        180 |                 distutils
import time:       868 |       1047 |               distutils.version
import time:       246 |       1293 |             astropy.utils.introspection
import time:       385 |       7127 |           astropy.utils.codegen
import time:       375 |        375 |             astropy.utils.exceptions
import time:       365 |        739 |           astropy.utils.decorators
import time:       766 |        766 |             difflib
import time:       213 |        213 |                   _json
import time:       575 |        788 |                 json.scanner
import time:       600 |       1387 |               json.decoder
import time:       749 |        749 |               json.encoder
import time:       272 |       2407 |             json
import time:      1269 |       1269 |             signal
import time:       383 |        383 |             traceback
import time:       206 |        206 |             unicodedata
import time:      1026 |       1026 |             locale
import time:       995 |       7050 |           astropy.utils.misc
import time:       203 |      15116 |         astropy.utils
import time:       315 |        315 |           astropy.config.paths
import time:       155 |        155 |               astropy.extern
import time:       216 |        370 |             astropy.extern.configobj
import time:      6916 |       6916 |             astropy.extern.configobj.configobj
import time:       440 |        440 |               pprint
import time:      7869 |       8309 |             astropy.extern.configobj.validate
import time:       592 |      16185 |           astropy.config.configuration
import time:       197 |        197 |           astropy.config.affiliated
import time:       221 |      16916 |         astropy.config
import time:       170 |        170 |         astropy.utils.state
import time:       130 |        130 |           astropy.tests
import time:       341 |        341 |           glob
import time:        97 |         97 |                 org
import time:        29 |        125 |               org.python
import time:        20 |        145 |             org.python.core
import time:       209 |        354 |           copy
import time:       290 |        290 |           shlex
import time:       361 |        361 |           tempfile
import time:       392 |       1865 |         astropy.tests.runner
import time:        44 |         44 |             _string
import time:       694 |        738 |           string
import time:        45 |         45 |           atexit
import time:      1994 |       2776 |         logging
import time:      1194 |       1194 |         astropy.logger
import time:       136 |        136 |         astropy.utils._compiler
import time:     13989 |      52386 |       astropy
import time:       939 |        939 |             fractions
import time:       358 |       1297 |           astropy.units.utils
import time:       221 |        221 |             astropy.units.format.base
import time:       166 |        166 |               astropy.units.format.utils
import time:       727 |        892 |             astropy.units.format.generic
import time:       377 |        377 |             astropy.units.format.cds
import time:       177 |        177 |             astropy.units.format.console
import time:       219 |        219 |             astropy.units.format.fits
import time:       207 |        207 |             astropy.units.format.latex
import time:       266 |        266 |             astropy.units.format.ogip
import time:       171 |        171 |             astropy.units.format.unicode_format
import time:       467 |        467 |             astropy.units.format.vounit
import time:       253 |       3246 |           astropy.units.format
import time:      1916 |       6458 |         astropy.units.core
import time:       201 |        201 |             astropy.utils.compat.misc
import time:       195 |        195 |             astropy.utils.compat.numpycompat
import time:       230 |        626 |           astropy.utils.compat
import time:       477 |        477 |             astropy.utils.metadata
import time:       496 |        973 |           astropy.utils.data_info
import time:       251 |        251 |             astropy.units.quantity_helper.converters
import time:       317 |        317 |             astropy.units.quantity_helper.helpers
import time:       718 |        718 |             astropy.units.quantity_helper.function_helpers
import time:       186 |        186 |             astropy.units.quantity_helper.scipy_special
import time:       150 |        150 |             astropy.units.quantity_helper.erfa
import time:       227 |       1847 |           astropy.units.quantity_helper
