import time: self [us] | cumulative | imported package
import time:       895 |        895 |                   http
import time:       548 |        548 |                       email.errors
import time:       293 |        293 |                           email.quoprimime
import time:       156 |        156 |                           email.base64mime
import time:       195 |        195 |                               quopri
import time:       149 |        344 |                             email.encoders
import time:       307 |        651 |                           email.charset
import time:       911 |       2008 |                         email.header
import time:       249 |        249 |                           email._parseaddr
import time:       593 |        842 |                         email.utils
import time:       340 |       3189 |                       email._policybase
import time:       815 |       4551 |                     email.feedparser
import time:       317 |       4868 |                   email.parser
import time:       199 |        199 |                     uu
import time:       323 |        323 |                     email._encoded_words
import time:       161 |        161 |                     email.iterators
import time:       645 |       1326 |                   email.message
import time:      1805 |       1805 |                     _ssl
import time:      3522 |       5327 |                   ssl
import time:      1166 |      13580 |                 http.client
import time:       239 |        239 |                   urllib.response
import time:       385 |        623 |                 urllib.error
import time:      1924 |      16312 |               urllib.request
import time:       117 |        117 |                     _dbm
import time:       186 |        303 |                   dbm.ndbm
import time:       260 |        563 |                 dbm
import time:       332 |        332 |                 shelve
import time:     21882 |      22775 |               astropy.utils.data
import time:       359 |        359 |               astropy.coordinates.sites
import time:       729 |      42546 |             astropy.coordinates.earth
import time:       364 |      42909 |           astropy.coordinates.attributes
import time:      1462 |      49625 |         astropy.coordinates.baseframe
import time:       630 |        630 |           astropy.coordinates.builtin_frames.baseradec
import time:       476 |        476 |           astropy.coordinates.builtin_frames.icrs
import time:       194 |        194 |                   astropy.time.utils
import time:       690 |        690 |                     astropy.extern._strptime
import time:       843 |       1533 |                   astropy.time.core
import time:      3977 |       5702 |                 astropy.time.formats
import time:       148 |       5849 |               astropy.time
import time:       114 |        114 |                   urlparse
import time:       128 |        128 |                     astropy.io
import time:       350 |        350 |                                 multiprocessing.process
import time:       246 |        246 |                                   array
import time:       324 |        569 |                                 multiprocessing.reduction
import time:       629 |       1547 |                               multiprocessing.context
import time:       260 |       1806 |                             multiprocessing
import time:       157 |        157 |                               concurrent
import time:       686 |        686 |                               concurrent.futures._base
import time:       206 |       1048 |                             concurrent.futures
import time:       189 |        189 |                                 _queue
import time:       295 |        483 |                               queue
import time:       173 |        173 |                                 _multiprocessing
import time:       398 |        398 |                                 multiprocessing.util
import time:       107 |        107 |                                 _winapi
import time:       494 |       1171 |                               multiprocessing.connection
import time:       271 |        271 |                               multiprocessing.queues
import time:       432 |       2356 |                             concurrent.futures.process
import time:       195 |        195 |                             fcntl
import time:       247 |        247 |                             termios
import time:       509 |       6159 |                           astropy.utils.console
import time:       114 |        114 |                                 bintrees
import time:       361 |        474 |                               astropy.table.bst
import time:       188 |        188 |                               astropy.table.sorted_array
import time:      1050 |       1711 |                             astropy.table.index
import time:       256 |       1967 |                           astropy.table.groups
import time:       358 |        358 |                           astropy.table.pprint
import time:       325 |        325 |                                 numpy.ma.mrecords
import time:       361 |        361 |                                       unittest.util
import time:       275 |        635 |                                     unittest.result
import time:       260 |        260 |                                           asyncio.constants
import time:       231 |        231 |                                               asyncio.format_helpers
import time:       161 |        392 |                                             asyncio.base_futures
import time:       127 |        127 |                                             asyncio.log
import time:       264 |        781 |                                           asyncio.coroutines
import time:       147 |        147 |                                               _contextvars
import time:       146 |        292 |                                             contextvars
import time:       231 |        231 |                                             asyncio.exceptions
import time:       160 |        160 |                                               asyncio.base_tasks
import time:       256 |        415 |                                             _asyncio
import time:       459 |       1395 |                                           asyncio.events
import time:       324 |        324 |                                           asyncio.futures
import time:       227 |        227 |                                           asyncio.protocols
import time:       301 |        301 |                                             asyncio.transports
import time:       360 |        661 |                                           asyncio.sslproto
import time:       336 |        336 |                                             asyncio.locks
import time:       449 |        449 |                                             asyncio.tasks
import time:       361 |       1145 |                                           asyncio.staggered
import time:       219 |        219 |                                           asyncio.trsock
import time:       793 |       5801 |                                         asyncio.base_events
import time:       154 |        154 |                                         asyncio.runners
import time:       260 |        260 |                                         asyncio.queues
import time:       444 |        444 |                                         asyncio.streams
import time:       254 |        254 |                                         asyncio.subprocess
import time:       269 |        269 |                                           asyncio.base_subprocess
import time:       565 |        565 |                                           asyncio.selector_events
import time:       649 |       1482 |                                         asyncio.unix_events
import time:       251 |       8643 |                                       asyncio
import time:       896 |        896 |                                       unittest.case
import time:       198 |       9735 |                                     unittest.async_case
import time:       280 |        280 |                                     unittest.suite
import time:       633 |        633 |                                     unittest.loader
import time:       990 |        990 |                                         gettext
import time:       989 |       1979 |                                       argparse
import time:       174 |        174 |                                         unittest.signals
import time:       242 |        416 |                                       unittest.runner
import time:       242 |       2635 |                                     unittest.main
import time:       213 |      14129 |                                   unittest
import time:       168 |        168 |                                     numpy.testing._private
import time:       738 |        905 |                                   numpy.testing._private.utils
import time:       181 |        181 |                                   numpy.testing._private.decorators
import time:       231 |        231 |                                   numpy.testing._private.nosetester
import time:       203 |      15647 |                                 numpy.testing
import time:      1612 |      17584 |                               numpy.lib.recfunctions
import time:       264 |      17847 |                             astropy.table._np_utils
import time:       245 |      18091 |                           astropy.table.np_utils
import time:       229 |        229 |                           astropy.table._column_mixins
import time:       801 |      27602 |                         astropy.table.column
import time:       463 |        463 |                           astropy.io.registry
import time:       306 |        306 |                           astropy.table.row
import time:       225 |        225 |                           astropy.table.info
import time:       185 |        185 |                           astropy.table.connect
import time:      2024 |       3201 |                         astropy.table.table
import time:       323 |        323 |                         astropy.table.operations
import time:       121 |        121 |                           sortedcontainers
import time:       231 |        352 |                         astropy.table.soco
import time:       251 |        251 |                         astropy.table.serialize
import time:      5477 |       5477 |                         astropy.table.jsviewer
import time:       193 |        193 |                         astropy.io.ascii.connect
import time:       461 |        461 |                             astropy.io.fits.util
import time:       256 |        256 |                             astropy.io.fits.verify
import time:      5283 |       5998 |                           astropy.io.fits.card
import time:      3484 |       3484 |                           astropy.io.fits.column
import time:       572 |        572 |                                 astropy.io.fits.file
import time:       205 |        205 |                                 astropy.io.fits._utils
import time:      1123 |       1899 |                               astropy.io.fits.header
import time:       763 |        763 |                                   astropy.io.fits.hdu.base
import time:       538 |        538 |                                     astropy.io.fits.hdu.image
import time:       426 |        426 |                                       astropy.io.fits.fitsrec
import time:      1099 |       1524 |                                     astropy.io.fits.hdu.table
import time:       384 |        384 |                                     astropy.io.fits.compression
import time:       702 |       3146 |                                   astropy.io.fits.hdu.compressed
import time:       376 |        376 |                                   astropy.io.fits.hdu.groups
import time:       422 |        422 |                                   astropy.io.fits.hdu.hdulist
import time:       216 |        216 |                                   astropy.io.fits.hdu.nonstandard
import time:       195 |        195 |                                   astropy.io.fits.hdu.streaming
import time:       236 |       5352 |                                 astropy.io.fits.hdu
import time:        22 |       5373 |                               astropy.io.fits.hdu.hdulist
import time:       157 |        157 |                               astropy.utils.diff
import time:       649 |       8078 |                             astropy.io.fits.diff
import time:       418 |       8495 |                           astropy.io.fits.convenience
import time:      1023 |      18999 |                         astropy.io.fits
import time:       389 |        389 |                           astropy.table.meta
import time:       273 |        662 |                         astropy.io.fits.connect
import time:       181 |        181 |                           astropy.io.misc.pickle_helpers
import time:       155 |        335 |                         astropy.io.misc
import time:       185 |        185 |                           astropy.io.misc.hdf5
import time:       144 |        329 |                         astropy.io.misc.connect
import time:      4610 |       4610 |                             astropy.io.votable.exceptions
import time:       213 |        213 |                               astropy.utils.collections
import time:       138 |        138 |                                 astropy.utils.xml
import time:       193 |        193 |                                 astropy.utils.xml._iterparser
import time:       312 |        641 |                               astropy.utils.xml.writer
import time:      1215 |       1215 |                               astropy.io.votable.converters
import time:       192 |        192 |                               astropy.io.votable.ucd
import time:       192 |        192 |                               astropy.io.votable.util
import time:       138 |        138 |                                 astropy.utils.xml.check
import time:       130 |        130 |                                 astropy.utils.xml.validate
import time:       185 |        453 |                               astropy.io.votable.xmlutil
import time:       125 |        125 |                               astropy.io.votable.tablewriter
import time:      2471 |       5499 |                             astropy.io.votable.tree
import time:       200 |        200 |                             astropy.utils.xml.iterparser
import time:       433 |      10740 |                           astropy.io.votable.table
import time:      3369 |      14109 |                         astropy.io.votable
import time:       208 |        208 |                         astropy.io.votable.connect
import time:       145 |        145 |                         astropy.io.misc.asdf
import time:       197 |        197 |                         astropy.io.misc.asdf.connect
import time:       131 |        131 |                         astropy.io.misc.pandas
import time:       226 |        226 |                         astropy.io.misc.pandas.connect
import time:      5065 |      77798 |                       astropy.table
import time:       146 |        146 |                       astropy.io.ascii.docs
import time:      1043 |      78986 |                     astropy.io.ascii.core
import time:     26089 |      26089 |                     astropy.io.ascii.basic
import time:       120 |        120 |                         backports_abc
import time:       518 |        637 |                       astropy.io.ascii.cparser
import time:     19532 |      20168 |                     astropy.io.ascii.fastbasic
import time:     10950 |      10950 |                       astropy.io.ascii.fixedwidth
import time:      4014 |      14964 |                     astropy.io.ascii.cds
import time:      4035 |       4035 |                     astropy.io.ascii.ecsv
import time:     15835 |      15835 |                     astropy.io.ascii.latex
import time:      8897 |       8897 |                     astropy.io.ascii.html
import time:      9119 |       9119 |                     astropy.io.ascii.ipac
import time:       145 |        145 |                       astropy.io.ascii.misc
import time:      5287 |       5432 |                     astropy.io.ascii.daophot
import time:      2447 |       2447 |                     astropy.io.ascii.sextractor
import time:      4578 |       4578 |                     astropy.io.ascii.rst
import time:       251 |        251 |                         yaml.error
import time:       317 |        317 |                         yaml.tokens
import time:       284 |        284 |                         yaml.events
import time:       179 |        179 |                         yaml.nodes
import time:      5988 |       5988 |                           yaml.reader
import time:       356 |        356 |                           yaml.scanner
import time:       322 |        322 |                           yaml.parser
import time:       191 |        191 |                           yaml.composer
import time:      1095 |       1095 |                           yaml.constructor
import time:      2302 |       2302 |                           yaml.resolver
import time:       358 |      10608 |                         yaml.loader
import time:       309 |        309 |                           yaml.emitter
import time:       181 |        181 |                           yaml.serializer
import time:       279 |        279 |                           yaml.representer
import time:       261 |       1028 |                         yaml.dumper
import time:        50 |         50 |                             yaml.yaml
import time:       383 |        433 |                           yaml._yaml
import time:       365 |        797 |                         yaml.cyaml
import time:       507 |      13969 |                       yaml
import time:       327 |      14295 |                     astropy.io.ascii.ui
import time:       389 |     205357 |                   astropy.io.ascii
import time:      1678 |     207148 |                 astropy.utils.iers.iers
import time:       168 |     207316 |               astropy.utils.iers
import time:       103 |        103 |                 _gdbm
import time:       129 |        231 |               dbm.gnu
import time:        92 |         92 |                 _dbm
import time:       107 |        198 |               dbm.ndbm
import time:       211 |        211 |               dbm.dumb
import time:       577 |        577 |               _strptime
import time:     11809 |     226189 |             astropy.coordinates.earth_orientation
import time:      1127 |       1127 |             astropy.coordinates.builtin_frames.utils
import time:       704 |     228019 |           astropy.coordinates.builtin_frames.fk5
import time:      1078 |       1078 |           astropy.coordinates.builtin_frames.fk4
import time:      1341 |       1341 |           astropy.coordinates.builtin_frames.galactic
import time:       759 |        759 |           astropy.coordinates.builtin_frames.galactocentric
import time:      1570 |       1570 |           astropy.coordinates.builtin_frames.lsr
import time:       855 |        855 |           astropy.coordinates.builtin_frames.supergalactic
import time:       820 |        820 |           astropy.coordinates.builtin_frames.altaz
import time:       886 |        886 |           astropy.coordinates.builtin_frames.gcrs
import time:       488 |        488 |           astropy.coordinates.builtin_frames.cirs
import time:       485 |        485 |           astropy.coordinates.builtin_frames.itrs
import time:       476 |        476 |           astropy.coordinates.builtin_frames.hcrs
import time:      3461 |       3461 |           astropy.coordinates.builtin_frames.ecliptic
import time:       665 |        665 |           astropy.coordinates.builtin_frames.skyoffset
import time:       796 |        796 |           astropy.coordinates.builtin_frames.icrs_fk5_transforms
import time:       306 |        306 |           astropy.coordinates.builtin_frames.fk4_fk5_transforms
import time:       389 |        389 |           astropy.coordinates.builtin_frames.galactic_transforms
import time:      2848 |       2848 |           astropy.coordinates.builtin_frames.supergalactic_transforms
import time:      1297 |       1297 |           astropy.coordinates.builtin_frames.icrs_cirs_transforms
import time:       570 |        570 |           astropy.coordinates.builtin_frames.cirs_observed_transforms
import time:      1067 |       1067 |           astropy.coordinates.builtin_frames.intermediate_rotation_transforms
import time:      2285 |       2285 |           astropy.coordinates.builtin_frames.ecliptic_transforms
import time:       971 |     252526 |         astropy.coordinates.builtin_frames
import time:       234 |        234 |                     _uuid
import time:      4885 |       5118 |                   uuid
import time:       453 |        453 |                   astropy.wcs.docstrings
import time:       750 |        750 |                   astropy.wcs._wcs
import time:       607 |        607 |                       astropy.wcs.wcsapi.low_level_api
import time:       214 |        214 |                         astropy.wcs.wcsapi.utils
import time:       436 |        650 |                       astropy.wcs.wcsapi.high_level_api
import time:       230 |        230 |                       astropy.wcs.wcsapi.high_level_wcs_wrapper
import time:       334 |        334 |                       astropy.wcs.wcsapi.sliced_low_level_wcs
import time:       242 |       2062 |                     astropy.wcs.wcsapi
import time:       434 |       2495 |                   astropy.wcs.wcsapi.fitswcs
import time:      1303 |      10117 |                 astropy.wcs.wcs
import time:       463 |        463 |                 astropy.wcs.utils
import time:       216 |      10796 |               astropy.wcs
import time:        29 |      10824 |             astropy.wcs.utils
import time:       837 |        837 |             astropy.coordinates.sky_coordinate_parsers
import time:       798 |      12458 |           astropy.coordinates.sky_coordinate
import time:       313 |      12771 |         astropy.coordinates.name_resolve
import time:       255 |        255 |         astropy.coordinates.matching
import time:       294 |        294 |         astropy.coordinates.funcs
import time:       304 |        304 |         astropy.coordinates.calculation
import time:       231 |        231 |           astropy.coordinates.orbital_elements
import time:       464 |        695 |         astropy.coordinates.solar_system
import time:       331 |     318518 |       astropy.coordinates
import time:       204 |     318721 |     thor.cell
import time:       230 |        230 |             numba._version
import time:       148 |        148 |               numba.misc
import time:       456 |        603 |             numba.misc.init_utils
import time:       159 |        159 |             numba.core
import time:       213 |        213 |                   llvmlite._version
import time:       224 |        437 |                 llvmlite
import time:       170 |        170 |                     llvmlite.binding.common
import time:       148 |        148 |                     llvmlite.utils
import time:       693 |        693 |                       pkgutil
import time:       223 |        223 |                             xml
import time:       240 |        462 |                           xml.parsers
import time:       430 |        430 |                           pyexpat
import time:       231 |       1122 |                         xml.parsers.expat
import time:      1733 |       2855 |                       plistlib
import time:       303 |        303 |                       pkg_resources.extern
import time:       157 |        157 |                           pkg_resources._vendor
import time:       376 |        532 |                         pkg_resources._vendor.appdirs
import time:       160 |        691 |                       pkg_resources.extern.appdirs
import time:       220 |        220 |                           pkg_resources._vendor.packaging.__about__
import time:       188 |        407 |                         pkg_resources._vendor.packaging
import time:       137 |        544 |                       pkg_resources.extern.packaging
import time:       217 |        217 |                         pkg_resources.extern.packaging._structures
import time:       150 |        150 |                         pkg_resources.extern.packaging._typing
import time:      3111 |       3477 |                       pkg_resources.extern.packaging.version
import time:       185 |        185 |                         pkg_resources.extern.packaging._compat
import time:       255 |        255 |                         pkg_resources.extern.packaging.utils
import time:      6665 |       7104 |                       pkg_resources.extern.packaging.specifiers
import time:     14831 |      14831 |                           pkg_resources._vendor.pyparsing
import time:        98 |      14929 |                         pkg_resources.extern.pyparsing
import time:      1350 |       1350 |                         pkg_resources.extern.packaging.markers
import time:      7198 |      23476 |                       pkg_resources.extern.packaging.requirements
import time:       544 |        544 |                       sysconfig
import time:     52446 |      92129 |                     pkg_resources
import time:     35246 |     127692 |                   llvmlite.binding.ffi
import time:       417 |     128109 |                 llvmlite.binding.dylib
import time:       734 |        734 |                   llvmlite.binding.targets
import time:       421 |        421 |                   llvmlite.binding.object_file
import time:      1022 |       2176 |                 llvmlite.binding.executionengine
import time:       273 |        273 |                 llvmlite.binding.initfini
import time:       222 |        222 |                 llvmlite.binding.linker
import time:      1687 |       1687 |                   llvmlite.binding.value
import time:       325 |        325 |                   llvmlite.binding.context
import time:      1004 |       3016 |                 llvmlite.binding.module
import time:       235 |        235 |                 llvmlite.binding.options
import time:      1108 |       1108 |                 llvmlite.binding.passmanagers
import time:       458 |        458 |                 llvmlite.binding.transforms
import time:      1372 |       1372 |                       llvmlite.ir._utils
import time:       921 |       2293 |                     llvmlite.ir.types
import time:      1423 |       1423 |                     llvmlite.ir.values
import time:       236 |        236 |                       llvmlite.ir.context
import time:       342 |        578 |                     llvmlite.ir.module
import time:      1762 |       1762 |                       llvmlite.ir.instructions
import time:       958 |       2720 |                     llvmlite.ir.builder
import time:       325 |        325 |                     llvmlite.ir.transforms
import time:       336 |       7672 |                   llvmlite.ir
import time:       269 |       7940 |                 llvmlite.binding.analysis
import time:       392 |     144359 |               llvmlite.binding
import time:      1323 |     145682 |             numba.core.config
import time:       445 |        445 |                   _lsprof
import time:       427 |        427 |                   profile
import time:       349 |       1220 |                 cProfile
import time:       237 |        237 |                 numba.testing.loader
import time:       924 |       2380 |               numba.testing.main
import time:       282 |       2662 |             numba.testing
import time:       275 |        275 |             numba.testing._runtests
import time:       314 |        314 |                 timeit
import time:       656 |        969 |               numba.core.utils
import time:      1452 |       1452 |               numba.core.types.abstract
import time:       410 |        410 |                 numba.core.types.common
import time:       556 |        556 |                     numba.core.typeconv.castgraph
import time:       229 |        784 |                   numba.core.typeconv
import time:       445 |        445 |                           colorama.ansi
import time:       381 |        381 |                             colorama.win32
import time:       339 |        719 |                           colorama.winterm
import time:       784 |       1946 |                         colorama.ansitowin32
import time:       302 |       2248 |                       colorama.initialise
import time:       308 |       2555 |                     colorama
import time:      1311 |       3865 |                   numba.core.errors
import time:      1345 |       5993 |                 numba.core.types.misc
import time:      2162 |       8564 |               numba.core.types.containers
import time:      1321 |       1321 |               numba.core.types.functions
import time:       472 |        472 |               numba.core.types.iterators
import time:      1194 |       1194 |               numba.core.types.npytypes
import time:       198 |        198 |                 numba.np
import time:       351 |        351 |                 numba.np.npdatetime_helpers
import time:       857 |       1404 |               numba.core.types.scalars
import time:       486 |        486 |               numba.core.types.function_type
import time:       894 |      16753 |             numba.core.types
import time:       247 |        247 |                         numba.core.typeconv._typeconv
import time:       359 |        605 |                       numba.core.typeconv.typeconv
import time:     11801 |      12406 |                     numba.core.typeconv.rules
import time:       325 |        325 |                       numba.core.cpu_options
import time:      1577 |       1902 |                     numba.core.typing.templates
import time:       253 |        253 |                             numba.core.datamodel.manager
import time:       311 |        311 |                             numba.core.datamodel.packer
import time:       173 |        173 |                             numba.core.datamodel.registry
import time:     37641 |      37641 |                             numba.core.datamodel.models
import time:       276 |      38652 |                           numba.core.datamodel
import time:      1052 |      39704 |                         numba.core.cgutils
import time:     56385 |      96088 |                       numba.np.numpy_support
import time:      1459 |      97547 |                     numba.core.typing.typeof
import time:      1183 |     113035 |                   numba.core.typing.context
import time:       267 |     113302 |                 numba.core.typing
import time:        66 |     113367 |               numba.core.typing.typeof
import time:       948 |        948 |               numba.core.typing.asnumbatype
import time:       366 |     114680 |             numba.misc.special
import time:       467 |        467 |                 numba.stencils
import time:       752 |        752 |                   numba.core.consts
import time:      5371 |       6123 |                 numba.core.ir
import time:      2184 |       2184 |                     numba.core.imputils
import time:       510 |        510 |                         llvmlite.llvmpy
import time:      1859 |       2369 |                       llvmlite.llvmpy.core
import time:      1105 |       1105 |                       numba._helperlib
import time:      1215 |       1215 |                         numba.core.debuginfo
import time:      2198 |       2198 |                           numba.core.itanium_mangler
import time:      1018 |       3215 |                         numba.core.funcdesc
import time:      1136 |       1136 |                         numba.core.generators
import time:       699 |        699 |                         numba.core.removerefctpass
import time:       640 |        640 |                           numba._dynfunc
import time:      1440 |       1440 |                           numba.core.serialize
import time:       829 |       2909 |                         numba.core.environment
import time:      2387 |      11559 |                       numba.core.lowering
import time:      4514 |      19546 |                     numba.core.pythonapi
import time:      2019 |      23748 |                   numba.core.extending
import time:      2266 |       2266 |                     numba.core.controlflow
import time:      2106 |       4371 |                   numba.core.analysis
import time:      1486 |       1486 |                     numba.core.transforms
import time:      1025 |       2510 |                   numba.core.postproc
import time:       896 |        896 |                     numba.core.rewrites.registry
import time:      1113 |       1113 |                     numba.core.rewrites.static_getitem
import time:       632 |        632 |                     numba.core.rewrites.static_raise
import time:       596 |        596 |                     numba.core.rewrites.static_binop
import time:       647 |        647 |                     numba.core.rewrites.ir_print
import time:       859 |       4740 |                   numba.core.rewrites
import time:      2263 |      37630 |                 numba.core.ir_utils
import time:       495 |        495 |                   numba.core.descriptors
import time:       465 |        465 |                       numba._devicearray
import time:       759 |       1223 |                     numba._dispatcher
import time:      1163 |       1163 |                       numba.core.tracing
import time:      1729 |       1729 |                         numba.core.dataflow
import time:      3223 |       3223 |                         numba.core.byteflow
import time:       534 |        534 |                         numba.core.unsafe
import time:      1363 |       1363 |                         numba.core.unsafe.eh
import time:       489 |        489 |                             numba.cpython
import time:       704 |       1192 |                           numba.cpython.unsafe
import time:      1225 |       2416 |                         numba.cpython.unsafe.tuple
import time:      2267 |      11531 |                       numba.core.interpreter
import time:      3720 |       3720 |                       numba.core.bytecode
import time:      1857 |       1857 |                           numba.core.event
import time:       658 |        658 |                           numba.core.compiler_lock
import time:      1357 |       1357 |                             numba.misc.quicksort
import time:       899 |        899 |                             numba.misc.mergesort
import time:      1086 |       1086 |                             numba.cpython.slicing
import time:     10269 |      13609 |                           numba.np.arrayobj
import time:      2348 |       2348 |                                       numba.core.typeinfer
import time:       793 |        793 |                                       numba.stencils.stencilparfor
import time:     12504 |      12504 |                                       numba.core.typing.npydecl
import time:       196 |        196 |                                           numba.np.unsafe
import time:       474 |        669 |                                         numba.np.unsafe.ndarray
import time:      1408 |       2076 |                                       numba.parfors.array_analysis
import time:      3627 |      21346 |                                     numba.parfors.parfor
import time:       207 |        207 |                                     numba.core.sigutils
import time:       408 |        408 |                                     numba.parfors.parfor_lowering_utils
import time:      1194 |      23154 |                                   numba.parfors.parfor_lowering
import time:       488 |      23642 |                                 numba.parfors
import time:        61 |      23703 |                               numba.parfors.parfor
import time:      8305 |      32007 |                             numba.core.typing.builtins
import time:       288 |        288 |                             numba.extending
import time:      2955 |      35249 |                           numba.cpython.builtins
import time:      2086 |      53456 |                         numba.core.base
import time:      1499 |      54955 |                       numba.core.callconv
import time:       322 |        322 |                         numba.core.callwrapper
import time:      1368 |       1368 |                             html.entities
import time:       652 |       2019 |                           html
import time:       209 |        209 |                           llvmlite.llvmpy.passes
import time:       247 |        247 |                                 numba.core.runtime.nrtdynmod
import time:       285 |        285 |                                 numba.core.runtime._nrt_python
import time:       570 |       1101 |                               numba.core.runtime.nrt
import time:       183 |       1283 |                             numba.core.runtime
import time:      1148 |       2431 |                           numba.core.runtime.nrtopt
import time:       205 |        205 |                           numba.misc.inspection
import time:       710 |        710 |                           numba.misc.llvm_pass_timings
import time:       939 |       6510 |                         numba.core.codegen
import time:       241 |        241 |                           numba.core.intrinsics
import time:       312 |        552 |                         numba.core.externals
import time:       240 |        240 |                         numba.core.fastmathpass
import time:       225 |        225 |                         numba.core.options
import time:       193 |        193 |                         numba.core.entrypoints
import time:      1063 |       1063 |                         numba.cpython.setobj
import time:      5084 |       5084 |                         numba.cpython.listobj
import time:       835 |      15020 |                       numba.core.cpu
import time:      1131 |       1131 |                         numba.cpython.rangeobj
import time:       826 |       1957 |                       numba.core.inline_closurecall
import time:       897 |        897 |                       numba.core.compiler_machinery
import time:       422 |        422 |                         numba.core.ssa
import time:      1339 |       1761 |                       numba.core.untyped_passes
import time:       179 |        179 |                         numba.core.annotations
import time:       497 |        497 |                         numba.core.annotations.type_annotations
import time:      1068 |       1743 |                       numba.core.typed_passes
import time:       540 |        540 |                         numba.core.pylowering
import time:       366 |        905 |                       numba.core.object_mode_passes
import time:      6854 |     100500 |                     numba.core.compiler
import time:       293 |        293 |                       numba.misc.appdirs
import time:       945 |       1237 |                     numba.core.caching
import time:      2065 |     105024 |                   numba.core.dispatcher
import time:       785 |     106303 |                 numba.core.registry
import time:      1493 |     152015 |               numba.stencils.stencil
import time:       673 |     152687 |             numba.core.decorators
import time:       240 |        240 |                 numba.np.ufunc._internal
import time:       862 |        862 |                   numba.np.ufunc.wrappers
import time:       180 |        180 |                     numba.np.ufunc.sigparse
import time:       465 |        644 |                   numba.np.ufunc.ufuncbuilder
import time:       691 |       2196 |                 numba.np.ufunc.parallel
import time:       389 |        389 |                 numba.np.ufunc.dufunc
import time:       272 |        272 |                 numba.np.ufunc.gufunc
import time:       436 |       3532 |               numba.np.ufunc.decorators
import time:       486 |        486 |               numba.np.ufunc.array_exprs
import time:       276 |       4294 |             numba.np.ufunc
import time:       190 |        190 |                     numba.experimental.jitclass._box
import time:       581 |        771 |                   numba.experimental.jitclass.base
import time:       222 |        992 |                 numba.experimental.jitclass.decorators
import time:       275 |        275 |                 numba.experimental.jitclass.boxing
import time:       249 |       1516 |               numba.experimental.jitclass
import time:       186 |       1701 |             numba.experimental
import time:       378 |        378 |             numba.core.withcontexts
import time:       320 |        320 |                   scipy._lib._testutils
import time:       254 |        574 |                 scipy._lib
import time:       223 |        797 |               scipy._lib.deprecation
import time:       217 |        217 |               scipy.__config__
import time:       150 |        150 |               scipy.version
import time:       142 |        142 |               scipy._distributor_init
import time:       567 |        567 |               scipy._lib._pep440
import time:       437 |        437 |                 scipy._lib._ccallback_c
import time:      1101 |       1538 |               scipy._lib._ccallback
import time:      4322 |       7730 |             scipy
import time:       397 |        397 |                   numba.typed.typedobjectutils
import time:       485 |        485 |                       numba.core.unsafe.bytes
import time:      2189 |       2674 |                     numba.cpython.hashing
import time:      2808 |       2808 |                     numba.cpython.unicode_support
import time:      6265 |      11746 |                   numba.cpython.unicode
import time:      3008 |      15150 |                 numba.typed.dictobject
import time:       836 |        836 |                 numba.core.boxing
import time:      4512 |       4512 |                 numba.cpython.charseq
import time:       172 |        172 |                 numba.typed.dictimpl
import time:       198 |        198 |                     numba.core.typing.ctypes_utils
import time:       278 |        476 |                   numba.core.ccallback
import time:       331 |        807 |                 numba.experimental.function_type
import time:     29374 |      50848 |               numba.typed.typeddict
import time:      3223 |       3223 |                 numba.typed.listobject
import time:      3675 |       6898 |               numba.typed.typedlist
import time:       226 |      57971 |             numba.typed
import time:      1268 |     507065 |           numba
import time:       142 |        142 |                 cffi.lock
import time:       215 |        215 |                 cffi.error
import time:       665 |        665 |                 cffi.model
import time:      1496 |       2517 |               cffi.api
import time:       249 |       2765 |             cffi
import time:       504 |        504 |             _cffi_backend
import time:       205 |        205 |               cffi.commontypes
import time:        66 |         66 |               cffi._pycparser
import time:       180 |        180 |                   pycparser.ply
import time:       899 |        899 |                   pycparser.ply.yacc
import time:      1242 |       1242 |                   pycparser.c_ast
import time:       476 |        476 |                     pycparser.ply.lex
import time:       443 |        919 |                   pycparser.c_lexer
import time:       275 |        275 |                   pycparser.plyparser
import time:       179 |        179 |                   pycparser.ast_transforms
import time:      1217 |       4908 |                 pycparser.c_parser
import time:       252 |       5159 |               pycparser
import time:      3006 |       8435 |             cffi.cparser
import time:       612 |      12315 |           numba.core.typing.cffi_utils
import time:      1131 |       1131 |           numba.core.typing.cmathdecl
import time:       464 |        464 |           numba.core.typing.enumdecl
import time:       718 |        718 |             numba.core.typing.collections
import time:       919 |       1636 |           numba.core.typing.listdecl
import time:      1836 |       1836 |           numba.core.typing.mathdecl
import time:      2670 |       2670 |           numba.core.typing.randomdecl
import time:      1274 |       1274 |           numba.core.typing.setdecl
import time:       242 |        242 |           numba.core.typing.dictdecl
import time:      1259 |       1259 |           numba.core.typing.arraydecl
import time:      2320 |       2320 |           numba.core.typing.npdatetime
import time:       178 |        178 |           numba.core.typing.bufproto
import time:       524 |        524 |           numba.cpython.tupleobj
import time:       190 |        190 |           numba.cpython.enumimpl
import time:       806 |        806 |           numba.cpython.heapq
import time:       231 |        231 |           numba.cpython.iterators
import time:       192 |        192 |             numba.core.optional
import time:       310 |        310 |             numba.cpython.unsafe.numbers
import time:       891 |       1392 |           numba.cpython.numbers
import time:       375 |        375 |           numba.misc.gdb_hook
import time:       249 |        249 |           numba.misc.literal
import time:      2610 |       2610 |           numba.np.linalg
import time:       231 |        231 |           numba.np.polynomial
import time:      1112 |       1112 |                     scipy.linalg._fblas
